Final,HƯNG,CHÍ ,TÙNG,title,text
1,1,1,0,Nỗi sợ phụ huynh của giáo viên Hàn Quốc,"""Các em đấm, đá vào mặt nhau, bàn ghế thì bị ném lung tung"", cô Kang nhớ lại một lần bị thương vì can thiệp vào cuộc ẩu đả của học sinh.Suốt hai năm, cô tìm đủ cách để kỷ luật học sinh hoặc phải đối mặt với sự phản ứng dữ dội của phụ huynh khi làm vậy. Còn hiệu trưởng không có động thái giúp đỡ nào, chỉ bảo cô ""hãy nghỉ ngơi một tuần"".Sự căng thẳng kéo dài khiến cô Kang từng có ý định nhảy ra trước đầu xe buýt với ý nghĩ làm vậy có thể giúp bản thân ""cảm thấy nhẹ nhõm đôi chút"". Hoặc dù nghỉ phép nhưng nỗi sợ phụ huynh và học sinh vẫn ám ảnh cô Kang, như tâm lý của nhiều giáo viên ở Hàn Quốc.Cô Kang Hyeon Joo. Ảnh:"
1,1,1,0,"7 học sinh bị kỷ luật vì đánh nhau, đứng xem, quay video","Sáng 2/11, ông Lâm Huy Hoàng, Hiệu trưởng trường THCS Đống Đa, quận Bình Thạnh, cho biết ngoài tạm dừng học, nam sinh đánh bạn bị hạ hạnh kiểm học kỳ I xuống bậc trung bình.Sự việc xảy ra vào trưa 25/10 ở lớp 9A5. Nam sinh này đánh rơi 500.000 đồng, bạn nhặt được nhưng lại đưa cho người khác. Vì hỏi nhiều lần nhưng bạn không trả lời nên em này đã lao vào đè cổ bạn, đánh tới tấp. Một học sinh đứng quay video và nhiều em khác vây xem. Thời điểm này các lớp chuẩn bị nghỉ trưa nên giáo viên, giám thị không phát hiện kịp thời.Theo ông Hoàng, nam sinh bị đánh cũng có lỗi nên sẽ bị hạ hạnh kiểm của tháng. Học sinh quay video bị đình chỉ học tập một tuần, hạ một bậc hạnh kiểm; 4 em đứng xem và chia sẻ video bị hạ một bậc hạnh kiểm.Đây là hình thức xử lý được hội đồng kỷ luật xem xét, cân nhắc trên mức độ vi phạm của từng học sinh, trên tinh thần giáo dục, uốn nắn, tạo cơ hội để các em sửa sai."
1,1,0,0,Ký túc xá cấm sinh viên nằm nệm gây tranh cãi,"Ngày 24/11, Ký túc xá Đại học Sư phạm TP HCM ra thông báo yêu cầu sinh viên không nằm nệm (nệm, miếng lót), chỉ nằm chiếu và không đi dép trong phòng.Cùng đó, sinh viên chỉ được để sách trên kệ sách, một hộp vừa ngăn kệ để đồ như mỹ phẩm, thuốc,.... Góc giường được yêu cầu chỉ để ba lô, gầm giường không được để đồ.Một số quy định khác như sinh viên đổ rác từ 21h đến 23h hàng ngày; không chơi game, xem phim liên tục gây ảnh hưởng đến chất lượng học tập và sinh hoạt chung của phòng ở.Ký túc xá Đại học Sư phạm TP HCM. Ảnh:"
1,1,1,0,"Trường mắc lừa, bổ nhiệm tiến sĩ 'dỏm' làm trưởng khoa","Ngày 25/11, một lãnh đạo trường Cao đẳng Công thương Việt Nam cho hay hồi tháng 10, trường phát hiện Trưởng khoa Công nghệ thông tin sử dụng bằng giả. Đây là lần đầu tiên việc này xảy ra ở trường.Người này sinh năm 1981, nộp hồ sơ ứng tuyển giảng viên và được nhận thử việc vào đầu tháng 9. Hồ sơ xin việc có bằng thạc sĩ và tiến sĩ ngành Khoa học máy tính, đều được cấp bởi trường Đại học Khoa học tự nhiên, Đại học Quốc gia TP HCM. Người ứng tuyển không cung cấp bằng đại học với lý do thất lạc, đang xin cấp lại.Nhận thấy ứng viên có năng lực giảng dạy, trình độ tiến sĩ chuyên ngành phù hợp nên cuối tháng 9, trường bổ nhiệm ông này giữ chức Trưởng khoa Công nghệ thông tin, thay cho trưởng khoa cũ về hưu.Sau đó, Cao đẳng Công thương Việt Nam nhận được một số ý kiến nghi ngờ bằng cấp của tân trưởng khoa. Trường gửi thông tin, văn bằng thạc sĩ và tiến sĩ của ông này đến trường Đại học Khoa học tự nhiên, nhờ đối chiếu. Trong văn bản trả lời, trường Đại học Khoa học tự nhiên cho hay thông tin trên văn bằng không khớp với dữ liệu của trường."
1,1,0,0,Yêu cầu rà soát tuyển dụng sau vụ tiến sĩ dỏm dạy nhiều trường,"Sở đề nghị các trường nêu rõ thời gian công tác, vị trí, chức vụ, tổng số giờ giảng dạy của ông Nguyễn Trường Hải, sinh năm 1981, tại đơn vị, nếu có. Đây người bị phát hiện dùng bằng tiến sĩ Khoa học máy tính giả xin việc ở nhiều đại học, cao đẳng trên địa bàn TP HCM.Ngoài ra, các trường phải thực hiện đầy đủ quy định hiện hành về tuyển dụng và quản lý nhà giáo. Các trường đặc biệt lưu ý việc thẩm tra, xác minh văn bằng, chứng chỉ của người trúng tuyển trước khi ký hợp đồng làm việc.Bằng tiến sĩ giả được ông nguyễn Trường Hải dùng để xin việc tại Cao đẳng Công thương Việt Nam. Ảnh: Hồi tháng 10, trường Cao đẳng Công thương Việt Nam phát hiện ông Nguyễn Trường Hải, Trưởng khoa Công nghệ thông tin, sử dụng bằng thạc sĩ, tiến sĩ giả."
1,1,0,0,Trường Y gây tranh cãi vì muốn tăng sinh viên,"Khảo sát do Bộ Y tế và Bộ Giáo dục Hàn Quốc thực hiện với 40 trường Y hồi tháng 10 và 11 cho thấy các trường này muốn tăng hơn 2.150 chỉ tiêu tuyển sinh vào năm 2025. Đề xuất này vượt xa dự kiến 1.000 chỉ tiêu mới cho ngành Y vào năm 2025 của chính phủ.""Các trường Y có thể tiếp nhận số lượng sinh viên gấp đôi hiện tại"", Jeon Byung-wang, đại diện Bộ Y tế nói.Theo Bộ Y tế, hiện tỷ lệ bác sĩ trên 1.000 dân tại Hàn Quốc chỉ đạt 2,5, thấp hơn mức trung bình 3,7 bác sĩ/1.000 dân do Tổ chức Hợp tác và Phát triển kinh tế (OECD) đề xuất. Nhân lực ở các chuyên khoa quan trọng như phụ sản, nhi khoa và phẫu thuật đang thiếu hụt trầm trọng. Hơn nữa, 13/40 trường Y tập trung ở Seoul, trong khi các khu vực xa như tỉnh Nam Jeolla và thành phố Sejong lại không có. Điều đó đặt ra nhu cầu mở thêm trường Y nhằm giảm thiểu chênh lệch về chất lượng và sự thiếu hụt dịch vụ y tế giữa các khu vực.Nhà chức trách cho rằng việc tăng chỉ tiêu tuyển sinh sẽ là phương án bắt buộc nhằm bước đầu giải quyết cuộc khủng hoảng hệ thống chăm sóc y tế tại Hàn Quốc."
1,1,1,0,Thứ trưởng Giáo dục: Học sinh nhốt cô giáo là 'không thể chấp nhận được',"Tại họp báo Chính phủ chiều 6/12, trả lời về quan điểm và cách lý xử lý của Bộ về việc học sinh lớp 7 nhốt cô giáo trong lớp, Thứ trưởng Hoàng Minh Sơn nói ""rất trăn trở"". Ông đánh giá đây là việc ""rất nghiêm trọng, không thể chấp nhận được"". Đêm 5/12, Bộ đã có văn bản gửi địa phương đề nghị xác minh, làm rõ vụ việc.Tuy nhiên, ông Sơn nói thêm dù bức xúc nhưng cần nhìn nhận vấn đề khách quan, thấu đáo, từ đó có giải pháp.""Cần làm rõ nguyên nhân dẫn đến vụ việc, do giáo viên hay học sinh, hay thuộc trách nhiệm của nhà trường, để chấn chỉnh, xử lý nghiêm, rút kinh nghiệm sâu sắc"", ông Sơn nói, nhấn mạnh từ vụ việc này cần tìm ra giải pháp cho tình trạng bạo lực học đường nói chung."
1,1,1,0,Đình chỉ công tác hiệu trưởng vụ cô giáo bị học sinh nhốt,"Quyết định do Chủ tịch UBND huyện Sơn Dương Giang Tuấn Anh ký hôm qua. Hiệu trưởng Nguyễn Duy Sáng bị đình chỉ để ""phục vụ xác minh, làm rõ sự việc liên quan tới công tác quản lý giáo viên của nhà trường"", thời gian từ ngày 7/12.Học sinh cầm gậy chỉ vào mặt cô giáo. Cách đây ba ngày, mạng xã hội lan truyền video gần hai phút, ghi lại hình ảnh một số học sinh lớp 7C, trường THCS Văn Phú nhốt cô giáo Âm nhạc trong lớp, chửi bới, ném đồ vào người cô. Đôi lúc, những em này cầm gậy và quạt, chỉ vào mặt, tìm cách giật điện thoại cô giáo cầm trên tay.Trong một video khác gần 5 phút, nhóm học sinh chửi tục rất nhiều, nhét rác vào cặp của cô giáo. Khi cô giáo từ bục giảng đi về phía cửa lớp, nhóm học sinh ném giấy và dép. Một đoạn video dài hơn một phút thì cho thấy cô giáo cầm giày vung loạn xạ, đuổi học sinh quanh lớp, trèo cả lên bàn rồi ném dép nhắm về phía học sinh."
1,1,0,0,Tranh cãi về 'câu hỏi sát thủ' trong đề thi đại học Hàn Quốc,"Viện Chương trình giảng dạy và Đánh giá Hàn Quốc, đơn vị tổ chức kỳ thi đại học (Suneung), tuần trước công bố báo cáo phân tích điểm thi của hơn 440.000 thí sinh.Kỳ thi Suneung năm nay diễn ra ngày 16/11, kéo dài 8 tiếng đồng hồ, kiểm tra kiến thức tiếng Hàn, Toán, tiếng Anh, lịch sử Hàn Quốc, ngoại ngữ thứ 2 hoặc chữ Hán. Kết quả, chỉ một thí sinh đạt điểm tuyệt đối ở tất cả bài thi, so với ba người của năm ngoái.Trừ môn tiếng Anh và Lịch sử, cách tính điểm thi ở Hàn Quốc tương đối phức tạp, gồm nhiều thành phần như điểm bài thi của thí sinh, điểm trung bình môn thi, điểm tiêu chuẩn... Trong đó, điểm chuẩn cho biết điểm của một cá nhân khác biệt bao nhiêu so với điểm trung bình của những người làm bài kiểm tra. Nhìn chung, nếu điểm chuẩn cao nhất từ 140 điểm trở lên thì bài thi được coi là khó. Nếu điểm này gần 150 thì bài thi được coi là thách đố.Ở môn tiếng Hàn, điểm chuẩn cao nhất của kỳ thi năm nay là 150, tăng 16 điểm so với năm ngoái và bằng năm 2019 - kỳ thi giữ kỷ lục về điểm chuẩn từ trước đến nay. Số học sinh đạt điểm tuyệt đối trong phần này cũng giảm đáng kể, chỉ còn 64, trong khi năm ngoái là 371."
1,1,1,0,Giảng viên nghỉ dạy vì bị nợ lương,"Chiều nay, hai phòng học của khoa Y cơ sở, trường Cao đẳng Y tế Quảng Nam, không một bóng người. Giảng viên hai lớp này đã thông báo ngừng dạy cho sinh viên trước đó. Tổng cộng, 30 sinh viên phải nghỉ học, trong đó khoảng 10 lưu học sinh Lào.Một giảng viên cho biết hôm 14/12, tập thể khoa Y cơ sở đã thông báo với ban giám hiệu sẽ nghỉ dạy từ hôm nay để trường có động thái giải quyết việc nợ 6 tháng lương và các chế độ khác.Theo người này, sau khi nhận biên bản của khoa, hiệu trưởng đã trao đổi qua điện thoại, mong thầy cô kéo dài thời gian đến 31/12 để nhà trường và tỉnh tìm cách giải quyết. Tuy nhiên đến nay trường chưa có động thái nào. Việc nghỉ dạy được thống nhất trong cả khoa.Ông Huỳnh Tấn Tuấn, Hiệu trưởng Cao đẳng Y tế Quảng Nam, cho biết cuối chiều nay sẽ họp với các khoa để giải quyết sự việc."
1,1,1,0,Hiệu trưởng Đại học Harvard bị cáo buộc đạo văn,"Theo tờ Washington Free Beacon, hiệu trưởng Claudine Gay nhận được 39 cáo buộc đạo văn, ở bảy công trình nghiên cứu, gồm luận án tiến sĩ của bà.Luận án tiến sĩ năm 1997 của bà Gay, với tựa đề ""Nắm quyền: Thắng lợi bầu cử của người da đen và sự tái định nghĩa của chính trị Mỹ"", đã trích dẫn nhiều phần từ một công trình xuất bản năm 1996 của hai tác giả Bradley Palmquist và Stephen Voss, nhưng không chú thích hoặc đặt các phần văn bản trong ngoặc kép.Free Beacon cho rằng đã có gần 20 học giả gặp tình huống tương tự trong các nghiên cứu của bà Gay. Điều này vi phạm quy tắc trích dẫn của Harvard: ""việc lấy bất kỳ ý tưởng hoặc ngôn ngữ nào từ người khác mà không ghi rõ nguồn đó trong bài viết của bạn bị coi là đạo văn"". Đặc biệt, đây là công trình từng được trường trao thưởng do có chất lượng xuất sắc.""Giáo sư như tôi sẽ không chấp nhận một bài làm như vậy từ một sinh viên năm nhất. Thật kinh khủng khi thấy những vi phạm này trong công trình nghiên cứu của một hiệu trưởng Harvard"", Steve McGuire, cựu giáo sư về lý thuyết chính trị tại Đại học Villanova, cho biết."
1,1,1,0,Hiệu trưởng Đại học Harvard từ chức,"""Dù trái tim đang nặng trĩu, nhưng với tình yêu sâu đậm dành cho Harvard, tôi viết thư này để chia sẻ rằng tôi sẽ từ chức hiệu trưởng. Đây là một quyết định không hề dễ dàng"", Gay mở đầu.Bà Gay nói việc này là vì lợi ích tốt nhất cho Harvard, dù rất đau xót khi phải chịu đựng các công kích cá nhân. Bà cho biết sẽ tiếp tục là giáo sư nghiên cứu về người Mỹ gốc Phi tại đại học này.Như vậy, bà Gay chỉ tại vị 6 tháng, ngắn nhất trong số các hiệu trưởng của Đại học Harvard kể từ khi trường thành lập vào năm 1636.Đại học Harvard cho biết chấp nhận thư từ chức này. Trong thông báo, trường cảm ơn Gay vì những cống hiến với tư cách là hiệu trưởng, đồng thời lên án một số lời lẽ thể hiện ""sự phân biệt chủng tộc"" nhắm vào bà."
1,1,1,0,Hàng trăm học sinh phải thi lại học kỳ môn Văn,"Ngày 2/1, một lãnh đạo của trường THCS-THPT Tân Lộc, huyện Thới Bình, cho biết ngày mai toàn bộ học sinh của 8 lớp khối 10 sẽ làm lại bài kiểm tra môn Ngữ văn học kỳ I.phần làm văn chiếm 5 điểm trong đề Văn yêu cầu học sinh phân tích hình tượng nhân vật Đăm Săn, trong văn bản ""Đăm Săn đi bắt nữ thần Mặt Trời"", trích Đăm Săn - Sử thi Ê- Đê. Văn bản này nằm trong sách giáo khoa Ngữ văn lớp 10. Tuy nhiên, điều này không đúng với hướng dẫn kiểm tra, đánh giá môn Văn của Bộ Giáo dục và Đào tạo.Cụ thể, Thông tư 32 năm 2018 của Bộ quy định việc sử dụng và khai thác ngữ liệu bảo đảm đánh giá được năng lực của học sinh, khắc phục tình trạng học sinh chỉ học thuộc bài hoặc sao chép tài liệu có sẵn; tránh dùng lại các văn bản ngữ liệu đã học để đánh giá được chính xác khả năng đọc hiểu và phân tích, cảm thụ tác phẩm văn học.Sự việc được phụ huynh phát hiện, báo lên trường."
1,1,1,0,Hơn 100 giảng viên đại học bị nợ lương,"Ngày 10/1, ông Phạm Tiến Nam, Chủ tịch Liên đoàn Lao động tỉnh Quảng Bình, cho biết thông tin trên.Cụ thể, trường này có 236 giảng viên, nhân viên. Trong đó, 99 người hưởng lương từ ngân sách của tỉnh. Còn lại, 137 người ký hợp đồng với trường, bị nợ lương từ 2 đến 7,5 tháng. Ngoài ra, trường cũng nợ tiền đóng bảo hiểm xã hội của những người này, nhưng chưa cho biết con số cụ thể.Lãnh đạo Đại học Quảng Bình nói không có tiền trả lương vì tuyển sinh kém, sụt giảm nguồn thu. Hiện tại trường có hơn 1.000 sinh viên, nhưng quá nửa ở khối sư phạm - được miễn học phí theo quy định của chính phủ.Trường cho biết ít nhất trong ba tháng đầu năm nay cũng không có kinh phí để trả lương cho số giảng viên, nhân viên này."
1,0,1,0,Trường học lùi giờ vào lớp vì trời rét,"Trường Tiểu học Thanh Xuân Trung, quận Thanh Xuân, sáng nay bắt đầu lùi giờ học, áp dụng tới hết tháng 1/2024.Cụ thể, từ 8h, học sinh có mặt tại trường và học tiết 1 lúc 8h15 phút, muộn hơn 20 phút so với thời khóa biểu cũ. Trường cho biết việc này nhằm đảm bảo sức khỏe cho học sinh, do thời tiết từ khoảng giữa tháng 12 tới tháng 1 hàng năm rất lạnh.""Thay vì sáng nào cũng xem thời tiết lúc 6h, cả thầy cô và gia đình đều thấp thỏm, chúng tôi lùi giờ học để các gia đình chủ động, trừ những ngày lạnh dưới 10 độ sẽ thông báo cụ thể"", hiệu trưởng Nguyễn Thị Quỳnh Như nói.Theo bà Như, để học sinh được vào lớp muộn hơn 20 phút, trường rút ngắn giờ ra chơi 10 phút, thời gian chuyển giữa các tiết giảm từ 5 xuống ba phút. Việc này cũng giúp thời gian ăn bán trú hay nghỉ trưa của học sinh được đảm bảo. Bà Như đánh giá 20 phút là hợp lý, nhiều hơn sẽ ảnh hưởng việc đưa, đón của phụ huynh."
1,1,1,1,Hai giáo viên bị kiểm điểm vì ra đề Văn 'nhạy cảm',"Thông tin do UBND huyện Thanh Bình đưa ra chiều 9/1, sau khi đề kiểm tra học kỳ I môn Văn của học sinh khối 8 trong huyện cách đây một tuần lan truyền trên mạng xã hội. Hai giáo viên bị kiểm điểm gồm một người ra đề, một người phản biện. Hội đồng ra đề cùng lãnh đạo phòng Giáo dục và Đào tạo huyện cũng bị xem xét trách nhiệm.Nguyên nhân dẫn tới sự cố này do ngữ liệu trong phần Đọc hiểu của đề thi, với tiêu đề ""Sao chưa mời tôi ăn"", trích từ sách Tiếng cười dân gian Việt Nam của Trương Chính - Phong Châu:Đề thi môn văn lớp 8 ở huyện Thanh Bình. Ảnh: Đề thi này sau đó gây tranh cãi trên mạng xã hội, nhiều người cho rằng ngữ liệu trong đề ""thiếu tế nhị"", ""dơ bẩn"", ""mất vệ sinh""."
1,1,1,1,Lùm xùm khiến hiệu trưởng Harvard từ chức,"Claudine Gay tuyên bố từ chức hiệu trưởng Đại học Harvard hôm 2/1, quay lại làm giảng viên và nghiên cứu về người Mỹ gốc Phi tại đây. Bà cho biết đây là quyết định khó khăn, nhưng vì lợi ích tốt nhất với trường.Hội đồng điều hành Đại học Harvard chấp nhận thư từ chức của Gay và bổ nhiệm ông Alan M. Garber, một chuyên gia kinh tế, đồng thời là giám đốc học thuật, làm hiệu trưởng tạm thời.Bà Gay chỉ mới nhậm chức hồi tháng 7 năm ngoái. Bà là hiệu trưởng tại vị ngắn nhất trong lịch sử gần 390 năm của Đại học Harvard, kể từ khi thành lập vào năm 1636.Các nhà phân tích đánh giá Gay phải chịu sự chỉ trích nặng nề vì không có câu trả lời xác đáng trước những lời lẽ bài người Do Thái trong khuôn viên trường. Bà cũng bị nghi ngờ đạo văn và là nguyên nhân khiến một số nhà tài trợ định ngừng quyên góp cho Harvard."
